51,67
63,57
55,44
37,11
17,13
24,21
7,7
3,26
63,65
69,54
7,24
33,25
62,35
43,61
6,41
30,7
7,49
39,9
7,1
29,28
19,20
3,17
43,66
43,65
30,21
25,29
12,23
43,19
49,53
41,63
11,19
9,4
67,55
1,37
29,10
22,33
21,11
26,13
15,47
53,64
33,4
34,31
9,11
39,19
34,5
23,29
14,49
57,61
32,15
3,34
5,49
59,43
31,17
3,36
14,9
32,9
55,54
58,69
28,19
14,19
3,48
25,36
25,5
59,37
10,11
35,28
59,51
49,47
5,27
53,55
57,67
57,60
6,15
53,59
69,60
29,31
42,61
41,58
27,19
12,49
38,7
17,45
1,3
3,11
1,42
60,69
3,14
59,41
21,15
51,57
67,66
65,68
27,21
17,27
28,5
7,2
39,2
5,54
21,25
33,23
34,17
20,25
26,1
23,2
34,19
37,63
2,39
9,17
69,51
26,33
65,62
53,69
21,27
45,7
21,20
58,43
26,15
41,64
45,53
5,25
63,52
27,13
1,11
44,11
53,45
15,3
45,49
15,26
37,19
35,61
36,13
51,52
25,23
23,26
4,53
23,9
56,43
25,16
53,68
12,47
47,56
25,31
59,61
25,27
33,5
9,51
12,45
6,37
8,15
3,5
23,7
45,9
5,2
5,48
57,48
10,17
31,3
64,57
5,9
14,33
35,10
51,65
32,3
69,49
55,61
30,11
49,59
22,31
38,5
35,33
33,27
39,25
16,1
1,13
26,21
47,62
9,0
69,53
8,3
5,37
27,17
5,51
51,43
63,42
5,55
7,47
35,24
3,3
1,16
55,59
21,9
32,27
21,18
14,21
29,26
4,5
55,58
36,21
10,45
33,29
13,12
21,5
25,26
9,1
23,17
11,1
26,29
21,19
68,55
6,43
11,9
17,19
23,27
23,4
26,7
12,3
58,55
18,1
1,7
9,26
11,42
13,6
27,11
47,59
2,29
47,52
41,10
31,25
19,25
43,13
18,41
9,45
53,42
5,4
69,64
47,9
31,5
31,14
51,60
39,12
23,15
49,57
49,39
35,14
66,65
3,43
67,61
25,17
21,1
1,23
67,51
49,58
67,58
51,51
57,57
9,46
25,15
39,27
6,25
2,7
57,62
41,68
3,27
10,9
8,19
52,63
9,7
23,46
51,9
59,46
7,29
59,66
67,60
29,23
8,11
61,69
13,25
1,1
15,41
43,8
59,56
61,61
37,21
21,4
7,44
10,41
35,7
57,41
39,63
11,45
3,30
18,45
4,45
47,49
31,24
60,61
21,21
61,57
47,63
35,13
13,40
69,52
29,7
59,57
15,34
27,5
29,6
13,39
27,7
11,18
55,68
23,31
5,6
9,48
30,29
5,22
45,63
19,4
3,15
11,30
54,59
17,21
57,35
51,59
1,33
35,9
10,37
61,66
57,69
21,17
6,11
65,55
12,39
22,25
29,36
67,67
15,42
39,56
36,61
50,59
16,9
11,43
47,57
28,31
7,15
40,53
59,58
49,63
27,22
3,41
48,49
17,6
1,38
59,69
25,25
66,51
19,13
11,41
36,35
69,68
33,12
55,64
19,17
55,52
31,2
11,13
31,9
3,44
65,70
11,16
13,47
65,59
32,17
32,31
18,7
43,56
19,5
63,61
29,17
5,12
39,53
47,10
11,32
33,19
26,19
39,26
10,39
4,35
24,1
45,55
11,35
5,45
9,14
59,67
19,15
15,35
61,63
21,10
27,2
6,1
57,43
63,64
21,3
37,5
34,23
9,19
25,1
11,2
16,17
33,7
33,21
31,26
25,21
28,3
6,53
18,27
41,62
70,67
30,19
8,31
11,5
8,49
3,35
14,1
23,14
19,33
12,7
11,7
7,51
28,15
41,55
11,20
55,63
45,60
43,5
4,41
9,23
67,63
41,66
47,54
58,63
7,9
1,32
19,31
0,19
33,13
29,0
7,50
11,37
13,45
13,3
7,18
39,60
60,53
51,47
63,69
66,57
46,65
41,4
51,49
68,65
25,30
39,67
15,43
41,21
41,67
35,31
35,65
39,13
19,23
35,20
3,42
31,15
66,55
47,42
11,21
6,47
22,13
55,41
17,5
10,21
55,47
4,25
39,11
45,65
10,23
53,38
5,11
23,28
25,6
12,19
46,57
5,18
1,4
55,49
17,4
5,8
69,61
33,15
47,60
3,29
12,29
29,3
60,43
65,69
23,25
23,23
57,46
9,8
51,66
6,35
34,7
5,43
65,66
21,12
29,19
27,25
47,51
7,41
50,47
15,21
11,23
4,57
19,7
23,1
13,22
13,43
37,13
23,24
70,47
67,59
19,14
63,67
32,7
18,17
29,11
47,4
49,67
61,51
26,25
16,31
9,5
67,69
34,15
4,21
5,1
9,54
17,17
27,18
7,17
40,19
7,16
67,50
5,29
19,10
59,55
21,8
57,63
9,39
8,23
11,15
19,3
15,19
30,13
35,2
35,27
61,67
11,25
43,7
7,39
56,29
7,21
42,55
19,45
45,11
57,52
47,53
1,26
53,66
33,26
17,14
1,39
33,9
12,35
3,31
13,21
41,15
63,63
35,23
25,13
14,13
35,34
59,40
31,23
58,51
5,47
59,64
45,59
31,18
17,1
18,19
5,5
10,27
9,13
9,44
42,15
2,21
70,51
20,5
5,53
55,69
14,23
12,5
29,22
19,8
8,13
1,41
52,57
32,21
29,5
37,67
34,9
58,59
41,6
9,41
13,15
9,47
13,16
11,3
43,11
45,54
21,23
3,9
53,39
31,21
31,27
40,59
45,57
5,38
38,61
38,21
48,59
33,11
69,63
4,19
51,61
21,6
67,65
43,68
56,47
43,59
44,55
9,21
27,12
9,24
3,54
5,46
29,16
1,35
4,37
3,23
3,40
28,9
47,48
69,55
27,3
31,11
13,14
31,1
33,3
65,61
23,5
41,57
45,61
22,1
57,65
2,15
65,56
9,15
61,59
53,62
53,63
31,29
1,19
45,2
51,44
49,54
47,55
19,11
16,7
9,43
5,39
57,55
50,55
39,64
29,13
64,65
15,28
53,43
38,67
13,1
55,53
19,21
14,51
40,67
5,3
53,67
19,9
20,31
42,17
57,40
35,19
22,21
1,9
31,8
51,53
49,45
59,45
1,17
14,3
57,53
35,30
24,29
41,5
43,60
15,29
35,5
51,39
65,49
49,52
20,27
1,24
29,29
31,7
59,39
51,55
20,15
19,24
5,30
60,59
55,48
3,1
35,3
14,35
27,33
27,1
1,6
21,7
13,9
13,56
1,31
5,28
56,65
57,54
15,5
4,15
13,41
13,44
40,11
1,5
31,31
15,25
7,45
3,37
57,45
3,39
59,59
65,63
37,7
65,67
0,37
21,29
41,13
60,41
55,67
8,33
3,32
11,14
35,12
1,21
63,68
45,62
69,57
8,37
5,21
7,37
69,59
48,51
21,13
35,15
19,1
17,32
61,64
9,38
24,7
69,62
56,57
5,7
19,22
5,23
35,11
62,49
31,33
9,53
66,53
1,10
62,57
44,63
43,57
13,13
13,42
27,27
1,15
43,63
63,62
7,20
14,47
5,10
55,45
1,12
8,41
62,55
27,8
62,61
30,31
7,26
7,31
30,5
61,65
13,30
59,50
66,63
59,48
41,7
13,50
27,23
2,19
62,69
32,11
36,7
25,7
25,3
39,7
13,35
52,55
60,57
13,5
10,51
17,20
27,28
39,18
17,3
38,11
25,4
5,13
56,39
59,49
53,51
19,40
5,41
57,51
11,12
43,64
10,1
29,27
5,19
22,9
69,58
63,55
28,11
1,0
31,64
15,18
55,56
27,4
45,58
7,43
5,57
24,13
55,60
3,12
16,21
55,62
14,7
37,9
69,67
7,13
27,30
43,67
13,11
43,22
9,3
39,5
2,3
3,53
8,29
55,51
10,5
30,1
2,17
59,63
33,0
63,59
22,17
33,28
8,7
32,23
29,14
0,31
37,26
3,7
3,2
1,29
